,Minus1_LFQ,Minus2_LFQ,Minus3_LFQ,Plus1_LFQ,Plus2_LFQ,Plus3_LFQ,Minus1,Minus2,Minus3,Plus1,Plus2,Plus3
sp|Q9UBQ5|EIF3K_HUMAN,18171638.17106415,22358238.77298994,22167367.64921688,20874278.901868116,23849511.132952996,18739256.585321046,12559973.173368532,31198303.1079707,15606279.995252725,14695922.566036096,38906993.553687975,13192818.817097103
sp|Q8N4Q1|MIA40_HUMAN,3036912.389389155,3484892.954264242,3545415.935847978,2326575.9834905774,2531593.7562135905,3371747.3372848006,2157506.2604260333,5009083.813810738,2518753.6803123597,3191024.0941950358,1798514.4104322353,3622256.097313937
sp|Q9NVH2|INT7_HUMAN,2438337.118692906,2875146.3720690515,2902900.982133203,2244474.5328698824,2134591.467756714,,730720.3675544598,4357575.075812293,3255601.048589709,2503776.568388374,1747777.4131769228,
sp|P46109|CRKL_HUMAN,3661240.7456872575,,4033948.493672407,5377526.275283601,5467684.905382046,,1692425.166844585,,5113411.356735859,7189503.971974412,4545059.924470455,
sp|O96000|NDUBA_HUMAN,8141326.201078736,8458658.270196117,8479302.686383259,8326000.5458934065,7750964.4988549175,,8001286.25495171,8313157.953554997,13585700.05770626,8182783.862442575,3073324.073750897,
sp|Q9NRF8|PYRG2_HUMAN,1211860.4907140313,1162156.0595878095,1493021.9527545513,1126378.7628787523,,1327584.0977431394,382133.67161109677,1824694.9191017249,1571850.9322736019,2123697.3273104,,418624.51338146033
sp|P25815|S100P_HUMAN,11638560.307213482,11795435.541825952,10281280.304982906,8851316.429251129,10933838.31451116,9175348.806217631,9247714.868040735,16025519.126756612,14391218.347431628,7033042.751810991,8687769.20259167,7290515.407370618
sp|O15504|NUP42_HUMAN,676579.6152509762,611924.7049636105,721156.3994481425,457747.9092267327,564251.9004959774,597739.5072109083,676579.8988417436,611924.9681435783,721155.8383656811,457747.3855307903,564252.1775929696,597739.7681215844
sp|P04183|KITH_HUMAN,1904054.4088249013,1648983.450042226,,2428682.457025916,1992941.7478174684,1840355.4562483574,901108.5839649013,2475770.4115621173,,2497006.9692198336,2049005.521608422,1892126.0336035935
sp|O94915|FRYL_HUMAN,185633.26786786914,,,,,291199.50130696956,185633.26786786914,,,,,291199.50130696956
sp|Q9Y316|MEMO1_HUMAN,10681202.729656737,10471521.735035583,6298785.71221777,7627132.233386139,6160788.926885498,6952631.940785237,4545020.566072869,7485559.68047193,7556235.801149443,13969437.88902346,2621521.7288664966,12014287.612382762
sp|O75208|COQ9_HUMAN,7617466.205532185,11017108.590080116,8677119.907470182,8359081.575843381,6960713.462973617,6661861.947515659,5450030.782618879,11971674.58605694,10655272.4151256,9076397.693499533,4980147.391744558,7159828.820369622
sp|Q5T8P6|RBM26_HUMAN,1307903.5494116105,2198146.000577851,2194538.922654428,1519616.9060153551,1949324.178014964,1491588.3879520977,1025866.2090854547,1915475.5224656053,1915737.1237287838,1339193.829985328,2655182.66814454,1809662.591216593
sp|Q14814|MEF2D_HUMAN,718251.2546455034,872621.8942286877,725689.537514507,,838865.0670674354,888698.8183763307,845344.9090136541,662171.9819517653,854100.5654145753,,636556.1611041081,1045952.9543483609
sp|O43772|MCAT_HUMAN,1820763.4165295823,1625780.6855886276,,,,,1522226.1449635033,1359213.3075129201,565104.6496417869,,,
sp|Q03135|CAV1_HUMAN,51180763.980362214,48441049.594607584,55312582.00007245,46216446.38969339,48311046.10097417,46662662.78333926,12518453.88775523,70933007.10017116,34007506.582181156,68274765.70474699,70620127.56794864,39770690.00624594
sp|P20929|NEBU_HUMAN,1251449.0831546348,,,,,,1251449.0831546348,,,,,
sp|Q9Y3Z3|SAMH1_HUMAN,1374991.2552050236,2548501.8691205103,2865246.538839461,2276706.841288433,2514751.656648882,2198609.0801307946,1059267.8897659192,1963325.2908303384,2207337.9789871173,4196111.068021993,1937324.0446340328,2415440.968993703
REV__sp|Q63HK3|ZKSC2_HUMAN,4649537.2868936295,,,,,,4649537.2868936295,,,,,
sp|Q8NAV1|PR38A_HUMAN,1285521.5197065182,1131677.0690629396,1046239.7987489823,896038.810843818,1106791.8141650197,,1285520.6778106864,1131677.592146523,1046240.3002816403,896038.1386768062,1106792.3036116224,
sp|O00217|NDUS8_HUMAN,,2784512.109063113,2734506.16718753,2071424.5860302108,2403232.587527205,1797608.2157452938,307900.56702927715,8380509.614323042,1146420.7107547915,307925.05995071866,1210480.4797354096,438047.2337601121
sp|Q6P1M0|S27A4_HUMAN,1926852.5256595605,,,2066446.0838701983,2086951.661158943,1647191.4966355881,982107.9451107035,,,1053258.1341909033,1063709.1714263181,4628366.516596365
sp|P02788|TRFL_HUMAN,1332914.8626768915,,,,1469088.7902201514,,1332914.8626768917,,,,1469088.7902201517,
sp|Q9Y2Y0|AR2BP_HUMAN,1861861.582349127,1807373.376611743,1608949.3709184234,1204566.9653758958,1496400.9398901723,1483159.9223289525,1552304.337207981,1504850.782174714,1339639.9927168172,1703114.6799640171,1245929.394800541,2116472.970610245
sp|Q02833|RASF7_HUMAN,,,,1163047.4397890277,1364130.9875757666,,938701.9750309375,,,1279991.4146045013,308485.0377293557,
sp|Q15050|RRS1_HUMAN,3818502.78411639,3809013.2298658215,3780308.7711250815,2952299.683330126,3009738.888592291,3457175.8160808794,3621393.986846974,3118466.3717016065,3094963.0108193588,4091693.1004968556,3621793.4180346965,3278729.285211101
sp|O00592|PODXL_HUMAN,2360093.1644376134,1692642.0239155507,2075122.8608782813,2567411.3371687327,1912386.7131256678,1906682.3169052533,1969113.410618837,1412232.3487507675,1731352.22574745,2142083.967944805,1595575.756592583,3663980.7067766557
